# PDOK Locatieserver woonplaats centroids (WGS84); CC0, Kadaster
place,municipality,province,lat,lon
Bunne,Tynaarlo,Drenthe,53.10722,6.51432
Bunnik,Bunnik,Utrecht,52.06169,5.18556
Bunschoten-Spakenburg,Bunschoten,Utrecht,52.23753,5.36397
Burdaard,Noardeast-Fryslân,Fryslân,53.29306,5.88306
Buren,Ameland,Fryslân,53.44370,5.88245
Buren,Buren,Gelderland,51.91339,5.33029
Burgerbrug,Schagen,Noord-Holland,52.75310,4.69553
Burgerveen,Haarlemmermeer,Noord-Holland,52.24160,4.67699
Burgh-Haamstede,Schouwen-Duiveland,Zeeland,51.68845,3.70603
Burgum,Tytsjerksteradiel,Fryslân,53.19989,5.99618
Burgwerd,Súdwest-Fryslân,Fryslân,53.08915,5.54261
Burum,Noardeast-Fryslân,Fryslân,53.27517,6.22855
Bussum,Gooise Meren,Noord-Holland,52.27109,5.16454
Buurmalsen,Buren,Gelderland,51.90893,5.29666
Buurmalsen,West Betuwe,Gelderland,51.90780,5.28284
Cadier en Keer,Eijsden-Margraten,Limburg,50.82773,5.76865
Cadzand,Sluis,Zeeland,51.36899,3.41235
Callantsoog,Schagen,Noord-Holland,52.84771,4.71037
Capelle aan den IJssel,Capelle aan den IJssel,Zuid-Holland,51.93493,4.58014
Castelre,Baarle-Nassau,Noord-Brabant,51.41997,4.79408
Castenray,Venray,Limburg,51.49068,6.03024
Casteren,Bladel,Noord-Brabant,51.40273,5.23860
Castricum,Castricum,Noord-Holland,52.55384,4.64080
Chaam,Alphen-Chaam,Noord-Brabant,51.50517,4.86482
Clinge,Hulst,Zeeland,51.28060,4.10264
Coevorden,Coevorden,Drenthe,52.66024,6.74260
Colijnsplaat,Noord-Beveland,Zeeland,51.59112,3.82751
Collendoorn,Hardenberg,Overijssel,52.59661,6.59425
Colmschate,Deventer,Overijssel,52.24997,6.22249
Cornwerd,Súdwest-Fryslân,Fryslân,53.08441,5.39620
Cortelande,Zuidplas,Zuid-Holland,52.00441,4.62979
Cothen,Wijk bij Duurstede,Utrecht,51.99376,5.28982
Creil,Noordoostpolder,Flevoland,52.76836,5.56589
Cromvoirt,Vught,Noord-Brabant,51.66969,5.23443
Cruquius,Haarlemmermeer,Noord-Holland,52.33414,4.64738
Cuijk,Land van Cuijk,Noord-Brabant,51.72778,5.86931
Culemborg,Culemborg,Gelderland,51.94578,5.21038
Daarle,Hellendoorn,Overijssel,52.42772,6.53792
Daarlerveen,Hellendoorn,Overijssel,52.44041,6.58168
Dalem,Gorinchem,Zuid-Holland,51.82408,5.01430
Dalen,Coevorden,Drenthe,52.69610,6.74352
Dalerpeel,Coevorden,Drenthe,52.68775,6.66601
Dalerveen,Coevorden,Drenthe,52.68912,6.81202
Dalfsen,Dalfsen,Overijssel,52.51258,6.26932
Dalmsholte,Ommen,Overijssel,52.47019,6.36717
Damwâld,Dantumadiel,Fryslân,53.29387,5.99242
Darp,Westerveld,Drenthe,52.77669,6.20574
De Bilt,De Bilt,Utrecht,52.10306,5.19279
De Blesse,Weststellingwerf,Fryslân,52.84588,6.03975
De Bult,Steenwijkerland,Overijssel,52.80725,6.11473
De Cocksdorp,Texel,Noord-Holland,53.15008,4.87451
De Falom,Dantumadiel,Fryslân,53.26425,6.01065
De Glind,Barneveld,Gelderland,52.11993,5.51516
De Goorn,Koggenland,Noord-Holland,52.63001,4.95304
De Groeve,Tynaarlo,Drenthe,53.11320,6.72045
De Heen,Steenbergen,Noord-Brabant,51.61105,4.25281
De Heurne,Aalten,Gelderland,51.89177,6.50041
De Hoeve,Weststellingwerf,Fryslân,52.89203,6.09379
De Kiel,Coevorden,Drenthe,52.86448,6.73523
De Klomp,Ede,Gelderland,52.04188,5.58528
De Knipe,Heerenveen,Fryslân,52.96369,5.98929
De Koog,Texel,Noord-Holland,53.09183,4.75487
De Krim,Hardenberg,Overijssel,52.65271,6.61980
De Kwakel,Uithoorn,Noord-Holland,52.23415,4.77477
De Lier,Westland,Zuid-Holland,51.97474,4.25581
De Meern,Utrecht,Utrecht,52.07767,5.02740
De Moer,Loon op Zand,Noord-Brabant,51.62442,5.01759
De Mortel,Gemert-Bakel,Noord-Brabant,51.54128,5.72420
De Pol,Steenwijkerland,Overijssel,52.82174,6.08400
De Punt,Tynaarlo,Drenthe,53.11160,6.61375
De Rijp,Alkmaar,Noord-Holland,52.55684,4.84514
De Rips,Gemert-Bakel,Noord-Brabant,51.54417,5.81422
De Schiphorst,Meppel,Drenthe,52.67908,6.25359
De Steeg,Rheden,Gelderland,52.02461,6.06625
De Tike,Smallingerland,Fryslân,53.15084,6.02801
De Trieme,Noardeast-Fryslân,Fryslân,53.27593,6.08961
De Veenhoop,Smallingerland,Fryslân,53.09048,5.96371
De Waal,Texel,Noord-Holland,53.07675,4.82500
De Weere,Opmeer,Noord-Holland,52.73108,4.98820
De Westereen,Dantumadiel,Fryslân,53.26100,6.03558
De Wilgen,Smallingerland,Fryslân,53.09697,6.02244
De Wilp,Westerkwartier,Groningen,53.11812,6.27075
De Zilk,Noordwijk,Zuid-Holland,52.30022,4.54108
Dearsum,Súdwest-Fryslân,Fryslân,53.08340,5.71798
Dedemsvaart,Hardenberg,Overijssel,52.59449,6.47518
Dedgum,Súdwest-Fryslân,Fryslân,53.02197,5.49599
Deelen,Ede,Gelderland,52.07802,5.89305
Deest,Druten,Gelderland,51.88460,5.66535
Deil,West Betuwe,Gelderland,51.87594,5.24055
